"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","With our budget reconciliation legislation, we will make the largest investment in America's working families in de… https://t.co/7Y2PyELysJ",FALSE,4297,NA,2021-08-17 15:02:00,TRUE,NA,"1427646901407543298",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",508,FALSE,FALSE,NA,NA
"2","A government which responds to the needs of its people and not just the interests of corporations is what we must d… https://t.co/qS1ObEpsM4",FALSE,11949,NA,2021-08-16 22:36:00,TRUE,NA,"1427398765988679685",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",1418,FALSE,FALSE,NA,NA
"3","Direct payments as a result of the expanded Child Tax Credit are now in month two. In that time:
- child poverty ha… https://t.co/1Js1tsu6bx",FALSE,6069,NA,2021-08-16 18:38:00,TRUE,NA,"1427338871155662856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",743,FALSE,FALSE,NA,NA
"4","July was the hottest month in recorded history. I will say that again — we just experienced the hottest month EVER… https://t.co/OYFqhVNfOf",FALSE,37091,NA,2021-08-13 20:04:00,TRUE,NA,"1426273350930796547",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",5839,FALSE,FALSE,NA,NA
"5","Since the start of the pandemic, billionaires in this country have gotten some $1.8 trillion richer, while half our… https://t.co/P0TjNoAmJQ",FALSE,3367,NA,2021-08-13 19:05:00,TRUE,NA,"1426258502771634176",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BernieSanders",814,FALSE,FALSE,NA,NA
"6","I find it interesting that for my Republican colleagues, when it comes to tax breaks for the rich and corporations… https://t.co/u6BHrORTSf",FALSE,22602,NA,2021-08-12 22:31:00,TRUE,NA,"1425947956163710978",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",3145,FALSE,FALSE,NA,NA
"7","CEO pay between 1978-2020: Up 1,322%
Worker pay between 1978-2020: FLAT

That's the kind of greed and inequality we have got to end.",FALSE,18757,NA,2021-08-12 20:14:00,FALSE,NA,"1425913478989029379",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",3055,FALSE,FALSE,NA,NA
"8","After Trump's so-called ""big, beautiful"" tax cut, 82 ultra-wealthy households saved more than $1 BILLION on their t… https://t.co/3vveOTxOuf",FALSE,4650,NA,2021-08-11 22:28:00,TRUE,NA,"1425584813373759491",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",965,FALSE,FALSE,NA,NA
"9","California is burning. Oregon is burning. Greece is burning. There is historic drought hitting virtually every coun… https://t.co/2wOidBTnQg",FALSE,47616,NA,2021-08-11 19:15:00,TRUE,NA,"1425536243354456075",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",7787,FALSE,FALSE,NA,NA
"10","In the face of so much devastation being wrought by decades of inaction, we cannot sit by and do nothing. When the… https://t.co/ua4KHAzZAT",FALSE,4032,NA,2021-08-09 18:32:00,TRUE,NA,"1424800646423797765",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BernieSanders",841,FALSE,FALSE,NA,NA
"11","Some of my Republican colleagues still refuse to accept that climate change is real. I refuse to accept that this i… https://t.co/HtWyAUr7zE",FALSE,8146,NA,2021-08-09 16:47:00,TRUE,NA,"1424774222191026181",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",1161,FALSE,FALSE,NA,NA
"12","The most important investment we can make is in the children of this country. That is exactly why we are going to m… https://t.co/XC8TvcPjJO",FALSE,7263,NA,2021-08-08 21:41:00,TRUE,NA,"1424485821638332427",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BernieSanders",769,FALSE,FALSE,NA,NA
